,D1 （6log）,D1 （6log）,D1 （6log）,D1 （6log）,D1 （6log）,D1 （6log）,D6（6log）,D6（6log）,D6（6log）,D6（6log）,D6（6log）,D6（6log）,L2182 （2log）,L2182 （2log）,L2182 （2log）,L2182 （2log）,L2182 （2log）,L2182 （2log）,L43 （2log）,L43 （2log）,L43 （2log）,L43 （2log）,L43 （2log）,L43 （2log）,L1253 （2log）,L1253 （2log）,L1253 （2log）,L1253 （2log）,L1253 （2log）,L1253 （2log）,L1091 （2log）,L1091 （2log）,L1091 （2log）,L1091 （2log）,L1091 （2log）,L1091 （2log）,L2182 （4log）,L2182 （4log）,L2182 （4log）,L2182 （4log）,L2182 （4log）,L2182 （4log）,L43 （4log）,L43 （4log）,L43 （4log）,L43 （4log）,L43 （4log）,L43 （4log）,L1253 （4log）,L1253 （4log）,L1253 （4log）,L1253 （4log）,L1253 （4log）,L1253 （4log）,L1091 （4log）,L1091 （4log）,L1091 （4log）,L1091 （4log）,L1091 （4log）,L1091 （4log）
0h,6.11,6.16,6.2,6.23,6.14,6.24,6.31,6.22,6.6,6.48,6.27,6.36,2.3,2.3,2,2.22,2.28,2.18,2.2,1.85,2.3,2.45,2.22,2.22,1.7,1.95,2.18,1.81,2.13,2.07,1.7,1.95,2.18,2.26,2.26,2.31,4.37,4.32,4.32,4.38,4.33,4.25,4.23,4.34,4.38,4.38,4.26,4.28,4.47,4.32,4.32,4.24,4.2,4.15,4.3,4.3,4.37,4.5,4.34,4.48
6h,6.34,6.57,6.57,6.5,6.6,6.48,6.43,6.43,6.34,6.4,6.37,6.5,2.7,2.78,3,3,3.12,3,2.9,2.98,3,3,3.32,2.98,2.9,2.9,3.5,3.4,3.32,2.98,2.79,2.8,3.59,3.6,3.62,2.78,4.6,4.9,4.69,4.6,4.59,4.8,4.7,4.8,4.69,4.6,4.52,4.88,4.5,4.68,4.79,4.9,4.82,4.78,4.79,4.8,4.59,4.6,4.62,4.78
24h,7.81,7.9,7.9,6.85,7.15,7.48,7.89,7.64,7.59,7.8,7.8,7.77,3.6,3.7,3.5,3.64,3.61,3.49,3.65,3.78,3.55,3.64,3.41,3.39,3.6,3.7,3.55,3.6,3.4,3.3,3.43,3.39,3.55,3.3,3.2,3.2,6.63,6.5,6.4,6.3,6.2,6.39,6.63,6.59,6.48,6.3,6.25,6.19,6.2,6.3,6.5,6.3,6.2,6.1,6.43,6.39,6.55,6.3,6.2,6.2
48h,8.71,8.79,8.7,8.46,8.79,8.71,9,8.88,8.94,9.17,9.02,9.49,4.39,4.49,4.49,4.6,4.66,4.38,4.3,4.4,4.4,4.6,4.6,4.38,4,4.34,4.44,4.56,4.5,4.48,3.89,4.34,4.44,4.56,4.5,4.59,7.9,7.59,7.49,7.69,7.8,7.89,7.69,7.5,7.4,7.6,7.8,7.89,7.8,7.64,8.24,7.46,7.75,7.49,7.89,7.34,7.44,7.56,7.5,7.59
72h,8.78,8.8,8.5,8.81,8.84,8.89,9.9,9.86,9.9,9.76,9.73,9.59,5.54,5.49,5.39,5.69,5.59,5.6,5.59,5.79,5.59,5.69,5.89,5.69,5.5,5.7,5.5,5.61,5.8,5.9,5.7,5.66,5.59,5.61,5.56,5.9,8.8,8.86,8.92,8.79,8.87,8.9,8.78,8.76,8.9,8.71,8.6,8.9,8.7,8.66,8.5,8.81,8.56,8.7,8.7,8.66,8.59,8.61,8.56,8.9
